mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
9.132;0.179;0.041;0.002;1.0;reg:squarederror;200;10;9;0.01;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.016;-0.009;-0.007;0.001;-0.007;0.006;55
9.302;0.162;0.024;0.001;1.0;reg:squarederror;200;10;7;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.020;-0.010;-0.010;0.009;-0.008;0.011;56
3.572;0.035;0.020;0.003;0.7;reg:squarederror;200;5;3;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.011;-0.005;-0.013;-0.003;-0.008;0.004;57
3.775;0.201;0.021;0.004;0.5;reg:squarederror;200;3;3;0.05;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.011;-0.000;-0.012;-0.008;-0.008;0.005;58
2.628;0.122;0.010;0.001;0.8;reg:squarederror;100;10;5;0.05;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.015;-0.003;-0.010;-0.004;-0.008;0.005;59
8.932;0.120;0.035;0.002;1.0;reg:squarederror;200;5;9;0.01;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.018;-0.006;-0.014;0.005;-0.008;0.009;60
2.873;0.055;0.024;0.004;0.7;reg:squarederror;200;10;5;0.05;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.011;0.003;-0.009;-0.022;-0.010;0.009;61
2.735;0.068;0.017;0.001;0.8;reg:squarederror;100;5;7;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.023;-0.004;-0.010;-0.002;-0.010;0.008;62
1.820;0.020;0.012;0.002;1.0;reg:squarederror;100;1;3;0.1;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7};-0.021;0.004;-0.011;-0.012;-0.010;0.009;63
2.246;0.074;0.022;0.007;1.0;reg:squarederror;100;1;5;0.05;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.018;0.008;-0.020;-0.011;-0.010;0.011;64
3.764;0.140;0.018;0.003;0.8;reg:squarederror;100;3;5;0.05;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.016;-0.005;-0.012;-0.011;-0.011;0.004;65
9.598;0.094;0.030;0.003;1.0;reg:squarederror;200;5;7;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.028;-0.010;-0.013;0.004;-0.012;0.011;66
3.539;0.086;0.018;0.001;1.0;reg:squarederror;100;10;5;0.05;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.027;-0.002;-0.013;-0.005;-0.012;0.010;67
4.386;0.101;0.021;0.003;0.8;reg:squarederror;200;3;3;0.05;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.017;-0.004;-0.017;-0.011;-0.012;0.005;68
2.540;0.090;0.015;0.003;1.0;reg:squarederror;100;1;5;0.05;0.7;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7};-0.014;0.001;-0.025;-0.012;-0.013;0.009;69
4.052;0.057;0.028;0.006;0.7;reg:squarederror;200;5;5;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.026;0.001;-0.023;-0.003;-0.013;0.012;70
2.113;0.043;0.012;0.004;0.5;reg:squarederror;100;10;3;0.1;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.014;-0.012;-0.016;-0.010;-0.013;0.002;71
3.162;0.087;0.012;0.001;0.5;reg:squarederror;100;3;5;0.05;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.017;-0.006;-0.027;-0.009;-0.014;0.008;72
2.323;0.090;0.015;0.003;0.7;reg:squarederror;100;5;3;0.1;1.0;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0};-0.023;-0.010;-0.016;-0.011;-0.015;0.005;73
